Epoch 222, Loss: 1.225620150566101, Test accuracy: 0.5400601029396057
Epoch 223, Loss: 1.224276065826416, Test accuracy: 0.5408112406730652
Epoch 224, Loss: 1.2233686447143555, Test accuracy: 0.5423134565353394
Epoch 225, Loss: 1.2222273349761963, Test accuracy: 0.5430645942687988
Epoch 226, Loss: 1.2196813821792603, Test accuracy: 0.5438157320022583
Epoch 227, Loss: 1.2184042930603027, Test accuracy: 0.5450676083564758
Epoch 228, Loss: 1.2176934480667114, Test accuracy: 0.5465698838233948
Epoch 229, Loss: 1.2132022380828857, Test accuracy: 0.5478217601776123
Epoch 230, Loss: 1.211258053779602, Test accuracy: 0.5490736365318298
Epoch 231, Loss: 1.210221290588379, Test accuracy: 0.5503255128860474
Epoch 232, Loss: 1.207871913909912, Test accuracy: 0.5515773892402649
Epoch 233, Loss: 1.2081307172775269, Test accuracy: 0.5518277287483215
Epoch 234, Loss: 1.2074991464614868, Test accuracy: 0.5535804033279419
Epoch 235, Loss: 1.2058604955673218, Test accuracy: 0.5543314814567566
Epoch 236, Loss: 1.2016525268554688, Test accuracy: 0.554581880569458
Epoch 237, Loss: 1.2003673315048218, Test accuracy: 0.5558337569236755
Epoch 238, Loss: 1.1967813968658447, Test accuracy: 0.556584894657135
Epoch 239, Loss: 1.2014014720916748, Test accuracy: 0.5578367710113525
Epoch 240, Loss: 1.1985247135162354, Test accuracy: 0.5588382482528687
Epoch 241, Loss: 1.197060465812683, Test accuracy: 0.5600901246070862
Epoch 242, Loss: 1.1935272216796875, Test accuracy: 0.5613420009613037
Epoch 243, Loss: 1.1922602653503418, Test accuracy: 0.5625938773155212
Epoch 244, Loss: 1.1883071660995483, Test accuracy: 0.5640961527824402
Epoch 245, Loss: 1.1872243881225586, Test accuracy: 0.5658487677574158
Epoch 246, Loss: 1.186219573020935, Test accuracy: 0.5678517818450928
Epoch 247, Loss: 1.1838916540145874, Test accuracy: 0.5693540573120117
Epoch 248, Loss: 1.1810848712921143, Test accuracy: 0.5706059336662292
Epoch 249, Loss: 1.1806223392486572, Test accuracy: 0.5723585486412048
Epoch 250, Loss: 1.1786789894104004, Test accuracy: 0.5736104249954224
Epoch 251, Loss: 1.1794692277908325, Test accuracy: 0.5748623013496399
Epoch 252, Loss: 1.1750304698944092, Test accuracy: 0.5748623013496399
Epoch 253, Loss: 1.1749522686004639, Test accuracy: 0.575363039970398
Epoch 254, Loss: 1.1725715398788452, Test accuracy: 0.5776164531707764
Epoch 255, Loss: 1.1707608699798584, Test accuracy: 0.577866792678833
Epoch 256, Loss: 1.170078158378601, Test accuracy: 0.5786179304122925
Epoch 257, Loss: 1.1679803133010864, Test accuracy: 0.5796194672584534
Epoch 258, Loss: 1.1661734580993652, Test accuracy: 0.581872820854187
Epoch 259, Loss: 1.165472388267517, Test accuracy: 0.5821232199668884
Epoch 260, Loss: 1.1620397567749023, Test accuracy: 0.5836254358291626
Epoch 261, Loss: 1.160417079925537, Test accuracy: 0.583875834941864
Epoch 262, Loss: 1.159257173538208, Test accuracy: 0.5843765735626221
Epoch 263, Loss: 1.1580723524093628, Test accuracy: 0.5843765735626221
Epoch 264, Loss: 1.1569132804870605, Test accuracy: 0.5851277112960815
Epoch 265, Loss: 1.1539864540100098, Test accuracy: 0.5851277112960815
Epoch 266, Loss: 1.152584195137024, Test accuracy: 0.5853780508041382
Epoch 267, Loss: 1.1524338722229004, Test accuracy: 0.5861291885375977
Epoch 268, Loss: 1.1502304077148438, Test accuracy: 0.5853780508041382
Epoch 269, Loss: 1.1485662460327148, Test accuracy: 0.585878849029541
Epoch 270, Loss: 1.1464496850967407, Test accuracy: 0.5868803262710571
Epoch 271, Loss: 1.1442921161651611, Test accuracy: 0.5868803262710571
Epoch 272, Loss: 1.143405556678772, Test accuracy: 0.5868803262710571
Epoch 273, Loss: 1.1428323984146118, Test accuracy: 0.5868803262710571
Epoch 274, Loss: 1.1425532102584839, Test accuracy: 0.5873810648918152
Epoch 275, Loss: 1.1392297744750977, Test accuracy: 0.5873810648918152
Epoch 276, Loss: 1.1368916034698486, Test accuracy: 0.5878818035125732
Epoch 277, Loss: 1.1343414783477783, Test accuracy: 0.5881322026252747
Epoch 278, Loss: 1.1326936483383179, Test accuracy: 0.5886329412460327
Epoch 279, Loss: 1.1308537721633911, Test accuracy: 0.5888833403587341
Epoch 280, Loss: 1.1295793056488037, Test accuracy: 0.5891337394714355
Epoch 281, Loss: 1.1290191411972046, Test accuracy: 0.5893840789794922
Epoch 282, Loss: 1.1289126873016357, Test accuracy: 0.5896344780921936
Epoch 283, Loss: 1.1271165609359741, Test accuracy: 0.5896344780921936
Epoch 284, Loss: 1.1270332336425781, Test accuracy: 0.5898848176002502
Epoch 285, Loss: 1.123979091644287, Test accuracy: 0.5896344780921936
Epoch 286, Loss: 1.1216840744018555, Test accuracy: 0.5898848176002502
Epoch 287, Loss: 1.1195217370986938, Test accuracy: 0.5903856158256531
Epoch 288, Loss: 1.1177496910095215, Test accuracy: 0.5908863544464111
Epoch 289, Loss: 1.1167569160461426, Test accuracy: 0.5916374921798706
Epoch 290, Loss: 1.1165884733200073, Test accuracy: 0.5916374921798706
Epoch 291, Loss: 1.1131595373153687, Test accuracy: 0.5921382308006287
Epoch 292, Loss: 1.1121571063995361, Test accuracy: 0.5921382308006287
Epoch 293, Loss: 1.112646222114563, Test accuracy: 0.5923885703086853
Epoch 294, Loss: 1.1113892793655396, Test accuracy: 0.5926389694213867
Epoch 295, Loss: 1.107086420059204, Test accuracy: 0.5926389694213867
Epoch 296, Loss: 1.1062297821044922, Test accuracy: 0.5921382308006287
Epoch 297, Loss: 1.1046795845031738, Test accuracy: 0.5921382308006287
Epoch 298, Loss: 1.1008321046829224, Test accuracy: 0.5928893685340881
Epoch 299, Loss: 1.099826455116272, Test accuracy: 0.5928893685340881
Epoch 300, Loss: 1.101812481880188, Test accuracy: 0.5928893685340881
Epoch 301, Loss: 1.1023879051208496, Test accuracy: 0.5931397080421448
Epoch 302, Loss: 1.0987244844436646, Test accuracy: 0.5931397080421448
Epoch 303, Loss: 1.0953553915023804, Test accuracy: 0.5933901071548462
Epoch 304, Loss: 1.0946829319000244, Test accuracy: 0.5936404466629028
Epoch 305, Loss: 1.0927125215530396, Test accuracy: 0.5936404466629028
Epoch 306, Loss: 1.0923899412155151, Test accuracy: 0.5941412448883057
Epoch 307, Loss: 1.0886211395263672, Test accuracy: 0.5943915843963623
Epoch 308, Loss: 1.0880119800567627, Test accuracy: 0.5946419835090637
Epoch 309, Loss: 1.0876668691635132, Test accuracy: 0.5946419835090637
Epoch 310, Loss: 1.084348201751709, Test accuracy: 0.5943915843963623
Epoch 311, Loss: 1.0849041938781738, Test accuracy: 0.5943915843963623
Epoch 312, Loss: 1.082287073135376, Test accuracy: 0.5943915843963623
Epoch 313, Loss: 1.0831036567687988, Test accuracy: 0.5948923230171204
Epoch 314, Loss: 1.0784753561019897, Test accuracy: 0.5948923230171204
Epoch 315, Loss: 1.0761020183563232, Test accuracy: 0.5951427221298218
Epoch 316, Loss: 1.07637357711792, Test accuracy: 0.5953931212425232
Epoch 317, Loss: 1.0774030685424805, Test accuracy: 0.5958938598632812
Epoch 318, Loss: 1.0745280981063843, Test accuracy: 0.5961441993713379
Epoch 319, Loss: 1.0741350650787354, Test accuracy: 0.5958938598632812
Epoch 320, Loss: 1.0727592706680298, Test accuracy: 0.5961441993713379
Epoch 321, Loss: 1.0707464218139648, Test accuracy: 0.5966449975967407
Epoch 322, Loss: 1.0703706741333008, Test accuracy: 0.5966449975967407
Epoch 323, Loss: 1.0668600797653198, Test accuracy: 0.5968953371047974
Epoch 324, Loss: 1.0652292966842651, Test accuracy: 0.5966449975967407
Epoch 325, Loss: 1.0641051530838013, Test accuracy: 0.5971457362174988
Epoch 326, Loss: 1.0631237030029297, Test accuracy: 0.5981472134590149
Epoch 327, Loss: 1.0636154413223267, Test accuracy: 0.5981472134590149
Epoch 328, Loss: 1.0604522228240967, Test accuracy: 0.5986480116844177
Epoch 329, Loss: 1.061015248298645, Test accuracy: 0.5983976125717163
Epoch 330, Loss: 1.0576820373535156, Test accuracy: 0.5986480116844177
Epoch 331, Loss: 1.0578596591949463, Test accuracy: 0.5988983511924744
Epoch 332, Loss: 1.0553189516067505, Test accuracy: 0.5993990898132324
Epoch 333, Loss: 1.0535557270050049, Test accuracy: 0.5998998880386353
Epoch 334, Loss: 1.0504615306854248, Test accuracy: 0.5998998880386353
Epoch 335, Loss: 1.052764892578125, Test accuracy: 0.6001502275466919
Epoch 336, Loss: 1.0474529266357422, Test accuracy: 0.6001502275466919
Epoch 337, Loss: 1.0505284070968628, Test accuracy: 0.6004006266593933
Epoch 338, Loss: 1.0458825826644897, Test accuracy: 0.60065096616745
Epoch 339, Loss: 1.0448195934295654, Test accuracy: 0.6009013652801514
Epoch 340, Loss: 1.046617865562439, Test accuracy: 0.6016525030136108
Epoch 341, Loss: 1.0446752309799194, Test accuracy: 0.6019028425216675
Epoch 342, Loss: 1.0437871217727661, Test accuracy: 0.6019028425216675
Epoch 343, Loss: 1.0406965017318726, Test accuracy: 0.6021532416343689
Epoch 344, Loss: 1.0413250923156738, Test accuracy: 0.602653980255127
Epoch 345, Loss: 1.0372085571289062, Test accuracy: 0.603154718875885
Epoch 346, Loss: 1.0391165018081665, Test accuracy: 0.6029043793678284
Epoch 347, Loss: 1.0354338884353638, Test accuracy: 0.603154718875885
Epoch 348, Loss: 1.0350053310394287, Test accuracy: 0.6036555171012878
Epoch 349, Loss: 1.0331004858016968, Test accuracy: 0.6036555171012878
Epoch 350, Loss: 1.0316572189331055, Test accuracy: 0.6036555171012878
Epoch 351, Loss: 1.0317519903182983, Test accuracy: 0.6039058566093445
Epoch 352, Loss: 1.0315032005310059, Test accuracy: 0.6041562557220459
Epoch 353, Loss: 1.027650237083435, Test accuracy: 0.6041562557220459
Epoch 354, Loss: 1.0274341106414795, Test accuracy: 0.6039058566093445
Epoch 355, Loss: 1.0253314971923828, Test accuracy: 0.6041562557220459
Epoch 356, Loss: 1.020567536354065, Test accuracy: 0.6041562557220459
Epoch 357, Loss: 1.0212074518203735, Test accuracy: 0.6044065952301025
Epoch 358, Loss: 1.0222712755203247, Test accuracy: 0.604656994342804
Epoch 359, Loss: 1.020911455154419, Test accuracy: 0.6049073934555054
Epoch 360, Loss: 1.0208203792572021, Test accuracy: 0.6054081320762634
